collection_name	dataset_id	n_cells	n_donors	n_cell_types	assays	tissues	diseases	sexes	age_terms	suspension_types	collection_id	dataset_total_cell_count	dataset_h5ad_path
Spatiotemporal analysis of human intestinal development at single-cell resolution	9d5df009-eb76-43a3-b6cd-22017cc53700	76592	17	9	10x 3' v3	colon, hindgut, ileum	normal	male & female	prenatal-prenatal, Carnegie stage 22 (4266), 10th week post-fertilization stage (1330), 11th week post-fertilization stage (6437), 13th week post-fertilization stage (8756), 14th week post-fertilization stage (16219), 16th week post-fertilization stage (4048), 17th week post-fertilization stage (8114), 18th week post-fertilization stage (9055), 19th week post-fertilization stage (5614), 20th week post-fertilization stage (1169), 21st week post-fertilization stage (5980), 23rd week post-fertilization stage (5604)	cell	60358420-6055-411d-ba4f-e8ac80682a2e	76592	9d5df009-eb76-43a3-b6cd-22017cc53700.h5ad
Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	ddb22b3d-a75c-4dd1-9730-dff7fc8ca530	73295	4	12	10x 3' v2, 10x 3' v3	caudate lobe of liver	normal	male & female	18yo-20yo, prime adult stage (53022), young adult stage (20273)	cell, nucleus	44531dd9-1388-4416-a117-af0a99de2294	73295	ddb22b3d-a75c-4dd1-9730-dff7fc8ca530.h5ad
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	518d9049-2a76-44f8-8abc-1e2b59ab5ba1	72458	20	17	10x 3' v2, 10x 3' v3	ascending colon, colon, colonic epithelium, descending colon, lamina propria of mucosa of colon	normal	male & female	20yo-70yo, third decade stage (26770), fourth decade stage (8022), fifth decade stage (1106), sixth decade stage (24021), seventh decade stage (9113), eighth decade stage (3426)	cell	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	152509	518d9049-2a76-44f8-8abc-1e2b59ab5ba1.h5ad
Single-Nucleus Analysis of Human White Adipose Tissue Reveals Adipocyte Subsets with Distinct Metabolic Profiles	9d8e5dca-03a3-457d-b7fb-844c75735c83	72335	19	15	10x 3' v3	subcutaneous abdominal adipose tissue, visceral abdominal adipose tissue	normal	male & female	18yo-66yo, 18-year-old stage (1778), 21-year-old stage (4159), 26-year-old stage (1227), 27-year-old stage (4364), 28-year-old stage (7074), 35-year-old stage (2065), 37-year-old stage (2602), 41-year-old stage (6302), 47-year-old stage (6886), 51-year-old stage (7641), 53-year-old stage (8295), 54-year-old stage (3500), 62-year-old stage (6641), 66-year-old stage (9801)	nucleus	6b701826-37bb-4356-9792-ff41fc4c3161	72335	9d8e5dca-03a3-457d-b7fb-844c75735c83.h5ad
Human Brain Cell Atlas v1.0	4976b234-9028-4b4b-8a2f-8ac59d636219	71874	3	12	10x 3' v3	cerebellum	normal	male	29yo-50yo, 29-year-old stage (24076), 42-year-old stage (36826), 50-year-old stage (10972)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	71874	4976b234-9028-4b4b-8a2f-8ac59d636219.h5ad
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates	3dc61ca1-ce40-46b6-8337-f27260fd9a03	71752	12	77	10x 5' v1	lung	normal	male & female	prenatal-prenatal, Carnegie stage 16 (4203), Carnegie stage 19 (4790), 9th week post-fertilization stage (8280), 11th week post-fertilization stage (9531), 15th week post-fertilization stage (12071), 18th week post-fertilization stage (13170), 20th week post-fertilization stage (7490), 22nd week post-fertilization stage (12217)	cell	2d2e2acd-dade-489f-a2da-6c11aa654028	71752	3dc61ca1-ce40-46b6-8337-f27260fd9a03.h5ad
Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes	37b21763-7f0f-41ae-9001-60bad6e2841d	69645	24	10	10x 3' v2, 10x 3' v3	islet of Langerhans	normal, type 1 diabetes mellitus	male & female	1yo-39yo, 1-year-old stage (3095), 3-year-old stage (2723), 4-year-old stage (6678), 5-year-old stage (4068), 8-year-old stage (2374), 10-year-old stage (2353), 13-year-old stage (7299), 14-year-old stage (7851), 15-year-old stage (1666), 17-year-old stage (881), 18-year-old stage (1884), 21-year-old stage (2267), 22-year-old stage (3809), 23-year-old stage (4465), 24-year-old stage (557), 27-year-old stage (3221), 29-year-old stage (2944), 35-year-old stage (7917), 39-year-old stage (3593)	cell	51544e44-293b-4c2b-8c26-560678423380	69645	37b21763-7f0f-41ae-9001-60bad6e2841d.h5ad
Spatial and cell type transcriptional landscape of human cerebellar development	b2dda353-0c96-42df-8dcd-1ea7429a6feb	69174	13	17	SPLiT-seq	cerebellum	normal	male & female	prenatal-prenatal, 9th week post-fertilization stage (5003), 10th week post-fertilization stage (2329), 11th week post-fertilization stage (20364), 12th week post-fertilization stage (7768), 14th week post-fertilization stage (11213), 17th week post-fertilization stage (15556), 18th week post-fertilization stage (1617), 20th week post-fertilization stage (5177), 21st week post-fertilization stage (147)	cell, nucleus	1b014f39-f202-45ae-bb7d-9286bddd8d8b	69174	b2dda353-0c96-42df-8dcd-1ea7429a6feb.h5ad
Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls	e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f	66719	14	6	10x 3' v3	occipital cortex	frontotemporal dementia, normal	male & female	58yo-96yo, 58-year-old stage (4357), 62-year-old stage (7377), 63-year-old stage (1976), 65-year-old stage (2788), 66-year-old stage (6263), 67-year-old stage (7567), 68-year-old stage (4837), 70-year-old stage (6880), 73-year-old stage (3562), 74-year-old stage (5157), 83-year-old stage (1662), 84-year-old stage (2318), 88-year-old stage (5987), 96-year-old stage (5988)	nucleus	aee9c366-f2fb-470b-8937-577d5d87d3fc	66719	e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f.h5ad
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates	4023a2bc-6325-47db-bfdf-9639e91042c2	61399	9	5	10x 5' v1	lung	normal	unknown	unknown, unknown (61399)	cell	2d2e2acd-dade-489f-a2da-6c11aa654028	70495	4023a2bc-6325-47db-bfdf-9639e91042c2.h5ad
A molecular cell atlas of the human lung from single cell RNA sequencing	8c42cfd0-0b0a-46d5-910c-fc833d83c45e	60993	3	46	10x 3' v2	lung	normal	male & female	46yo-75yo, 46-year-old stage (28793), 51-year-old stage (24676), 75-year-old stage (7524)	cell	5d445965-6f1a-4b68-ba3a-b8f765155d3a	65662	8c42cfd0-0b0a-46d5-910c-fc833d83c45e.h5ad
Single-Cell Atlas Of Human Pediatric Liver Reveals Age-Related Hepatic Gene Signatures	84cfa5aa-a0d1-415e-ac47-eb66c9cf8170	60741	12	19	10x 3' v2, 10x 3' v3, 10x 5' v2	caudate lobe of liver, right lobe of liver	normal	male & female	1yo-69yo, child stage (1-4 yo) (6287), juvenile stage (5-14 yo) (24620), 15-19 year-old (11139), late adult stage (2813), 26-year-old stage (506), 57-year-old stage (12455), 69-year-old stage (2921)	cell	ff69f0ee-fef6-4895-9f48-6c64a68c8289	81001	84cfa5aa-a0d1-415e-ac47-eb66c9cf8170.h5ad
Simultaneous profiling of transcription and chromatin accessibility at the single-cell level for postnatal human brain development	56a4bc14-9407-45fd-8786-f7f6fc87c9dd	59979	10	11	10x multiome	anterior cingulate cortex, dorsolateral prefrontal cortex	normal	male & female	neonatal-62yo, infant stage (8702), 4-year-old stage (8959), 6-year-old stage (7470), 14-year-old stage (14247), 20-year-old stage (2658), 39-year-old stage (7632), 61-year-old stage (6467), 62-year-old stage (3844)	nucleus	f406a653-c079-4bf9-aab6-85846c27571d	101924	56a4bc14-9407-45fd-8786-f7f6fc87c9dd.h5ad
Human Brain Cell Atlas v1.0	52f18bc3-52d9-487b-bf8f-f0b7aa684b09	59505	3	11	10x 3' v3	midbrain	normal	male	29yo-50yo, 29-year-old stage (21451), 42-year-old stage (12342), 50-year-old stage (25712)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	59505	52f18bc3-52d9-487b-bf8f-f0b7aa684b09.h5ad
Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease	8fbed309-d3d4-441b-b3ff-e2dcbcec2d35	57918	16	21	10x 3' v3	lung parenchyma	chronic obstructive pulmonary disease, normal	male & female	33yo-81yo, 33-year-old stage (4512), 51-year-old stage (7905), 56-year-old stage (4249), 58-year-old stage (2996), 61-year-old stage (6820), 62-year-old stage (5004), 64-year-old stage (3163), 65-year-old stage (4313), 67-year-old stage (2288), 71-year-old stage (1532), 72-year-old stage (5341), 76-year-old stage (1843), 77-year-old stage (2581), 79-year-old stage (2756), 81-year-old stage (2615)	cell	dc4cd1f7-667a-4c29-ae77-9401b9700d7f	57918	8fbed309-d3d4-441b-b3ff-e2dcbcec2d35.h5ad
HVS: Human variation study	e34f3f89-3a48-4173-a06a-9e9803f2e2b9	57855	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (57855)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	57855	e34f3f89-3a48-4173-a06a-9e9803f2e2b9.h5ad
scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation	2672b679-8048-4f5e-9786-f1b196ccfd08	57019	5	20	10x 3' v2	lung parenchyma	normal	male & female	40yo-70yo, fifth decade stage (13563), sixth decade stage (7272), seventh decade stage (28201), eighth decade stage (7983)	cell	4d74781b-8186-4c9a-b659-ff4dc4601d91	57019	2672b679-8048-4f5e-9786-f1b196ccfd08.h5ad
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	5ce42b38-d867-487f-9b40-e8bb00b21d0b	56265	20	7	10x 3' v2, 10x 3' v3	ascending colon, colon, colonic epithelium, descending colon, lamina propria of mucosa of colon	normal	male & female	20yo-70yo, third decade stage (13843), fourth decade stage (5165), fifth decade stage (4557), sixth decade stage (18683), seventh decade stage (5593), eighth decade stage (8424)	cell	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	97788	5ce42b38-d867-487f-9b40-e8bb00b21d0b.h5ad
Human Brain Cell Atlas v1.0	095940cb-7422-4510-96e2-cbafd961eb88	52045	3	13	10x 3' v3	cerebellum	normal	male	29yo-50yo, 29-year-old stage (18666), 42-year-old stage (10505), 50-year-old stage (22874)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	52045	095940cb-7422-4510-96e2-cbafd961eb88.h5ad
Single nucleus transcriptomic atlas of human foetal tendon	f641d68a-e877-4bb8-afd7-b8fa3921d461	51824	7	13	10x 3' v3	tendon of quadriceps femoris	normal	male & female	prenatal-prenatal, 13th week post-fertilization stage (22102), 18th week post-fertilization stage (15589), 21st week post-fertilization stage (14133)	nucleus	7b9ae565-a781-433d-98d4-430394e7802a	91859	f641d68a-e877-4bb8-afd7-b8fa3921d461.h5ad
Cross-tissue immune cell analysis reveals tissue-specific features in humans	1b9d8702-5af8-4142-85ed-020eb06ec4f6	51671	10	34	10x 3' v3, 10x 5' v1, 10x 5' v2	duodenum, ileum, liver, lung, sigmoid colon, skeletal muscle tissue, transverse colon	normal	male & female	50yo-70yo, sixth decade stage (25996), seventh decade stage (17279), eighth decade stage (8396)	cell	62ef75e4-cbea-454e-a0ce-998ec40223d3	329762	1b9d8702-5af8-4142-85ed-020eb06ec4f6.h5ad
Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor	99e317c0-1fab-4f73-b511-859e752fd1c3	51176	9	8	10x 3' v3	apical region of left ventricle	normal	male & female	prenatal-42yo, 19th week post-fertilization stage (18747), 20th week post-fertilization stage (7647), 4-year-old stage (4361), 10-year-old stage (5416), 14-year-old stage (6058), 35-year-old stage (4156), 41-year-old stage (3201), 42-year-old stage (1590)	nucleus	68e7e5b7-4dc9-4609-832e-7656aa6182ba	51176	99e317c0-1fab-4f73-b511-859e752fd1c3.h5ad
Human Brain Cell Atlas v1.0	52ea546e-9229-40ef-b048-a2e694dd73e8	50362	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (13896), 42-year-old stage (13664), 50-year-old stage (22802)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	50362	52ea546e-9229-40ef-b048-a2e694dd73e8.h5ad
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	0f4865d5-8000-4f68-8ac7-f5efea9e5e70	49951	33	6	10x 3' v2, 10x 3' v3	ileum, ileum lamina propria, lamina propria of small intestine, small intestine	normal	male & female	20yo-70yo, third decade stage (5039), fourth decade stage (2848), fifth decade stage (1130), sixth decade stage (2373), seventh decade stage (37316), eighth decade stage (1245)	cell	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	75695	0f4865d5-8000-4f68-8ac7-f5efea9e5e70.h5ad
Human Brain Cell Atlas v1.0	9ec34295-ab16-47e2-af33-b884143e520b	49110	2	12	10x 3' v3	midbrain	normal	male	42yo-50yo, 42-year-old stage (24134), 50-year-old stage (24976)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	49110	9ec34295-ab16-47e2-af33-b884143e520b.h5ad
HCA kidney seed network: University of Michigan	0b4a15a7-4e9e-4555-9733-2423e5c66469	48783	18	28	10x 3' v3	cortex of kidney	normal	male & female	43yo-74yo, 43-year-old stage (2437), 46-year-old stage (1611), 50-year-old stage (1603), 53-year-old stage (5035), 57-year-old stage (2075), 58-year-old stage (1760), 59-year-old stage (1919), 60-year-old stage (3410), 67-year-old stage (7894), 68-year-old stage (3038), 69-year-old stage (1625), 71-year-old stage (8840), 72-year-old stage (2821), 74-year-old stage (4715)	cell	a98b828a-622a-483a-80e0-15703678befd	48783	0b4a15a7-4e9e-4555-9733-2423e5c66469.h5ad
snRNA-seq of human kidney with ureteral obstruction	867757c1-3b1a-49d9-a0cd-17767eb160cc	46957	12	15	10x multiome	kidney	normal, obstructive nephropathy	male & female	60yo-84yo, 60-year-old stage (3971), 62-year-old stage (3513), 63-year-old stage (1951), 64-year-old stage (443), 66-year-old stage (2260), 68-year-old stage (1169), 69-year-old stage (4775), 70-year-old stage (1831), 79-year-old stage (9189), 82-year-old stage (5416), 83-year-old stage (8466), 84-year-old stage (3973)	nucleus	307ce143-7cc8-4813-99b1-3797834149c9	46957	867757c1-3b1a-49d9-a0cd-17767eb160cc.h5ad
LungMAP — Human data from a broad age healthy donor group	3de0ad6d-4378-4f62-b37b-ec0b75a50d94	46500	9	28	10x 3' v3	lung	normal	male & female	prenatal-31yo, 31st week post-fertilization stage (17026), 3-year-old stage (19081), 31-year-old stage (10393)	nucleus	625f6bf4-2f33-4942-962e-35243d284837	46500	3de0ad6d-4378-4f62-b37b-ec0b75a50d94.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	234c23d0-d6cd-4612-a40d-e5811727564b	45186	23	3	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (5067), prime adult stage (25348), young adult stage (14771)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	53015	234c23d0-d6cd-4612-a40d-e5811727564b.h5ad
Ex vivo modelling of human colorectal cancer liver metastasis by normothermic machine perfusion	e3ed2ba4-edf5-40ac-8750-8a417ad1eefe	43568	6	14	BD Rhapsody Whole Transcriptome Analysis	liver	normal	male & female	39yo-70yo, 39-year-old stage (14017), 46-year-old stage (3331), 53-year-old stage (7296), 56-year-old stage (5583), 70-year-old stage (13341)	cell	be679cb1-35f0-46c9-9a2d-30691862a54a	75104	e3ed2ba4-edf5-40ac-8750-8a417ad1eefe.h5ad
Human Brain Cell Atlas v1.0	7db0c178-b0a4-442f-ba54-e9e1633a84bb	42834	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (13881), 42-year-old stage (7483), 50-year-old stage (21470)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	42834	7db0c178-b0a4-442f-ba54-e9e1633a84bb.h5ad
Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling	0a2d7e87-c3c0-4ed2-86df-ae18811fcc16	42583	7	8	10x 3' v3	prefrontal cortex	Alzheimer disease, normal	male & female	53yo-83yo, 53-year-old stage (7962), 68-year-old stage (7242), 70-year-old stage (3230), 76-year-old stage (5641), 81-year-old stage (5422), 82-year-old stage (7896), 83-year-old stage (5190)	nucleus	7c4552fd-8a6d-4da3-9854-2dfa8baca8bf	61747	0a2d7e87-c3c0-4ed2-86df-ae18811fcc16.h5ad
Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	2727d83a-0af0-443a-bff8-58dc7028289a	42528	10	7	10x 3' v2	entorhinal cortex	Alzheimer disease, normal	male	50yo-87yo, 50-year-old stage (4213), 60-year-old stage (3301), 71-year-old stage (2216), 72-year-old stage (10187), 77-year-old stage (1945), 80 year-old and over stage (3784), 82-year-old stage (15400), 87-year-old stage (1482)	nucleus	180bff9c-c8a5-4539-b13b-ddbc00d643e6	42528	2727d83a-0af0-443a-bff8-58dc7028289a.h5ad
Recruited macrophages elicit atrial fibrillation	87a06a2a-16c6-42f7-af1b-529fad431051	41279	12	6	10x 3' v3	left atrium auricular region	atrial fibrillation || mitral valve insufficiency, normal	male & female	40yo-80yo, fifth decade stage (5273), sixth decade stage (11411), seventh decade stage (1950), eighth decade stage (20573), ninth decade stage (2072)	cell	eeba7193-4d32-46bd-a21b-089936d60601	41279	87a06a2a-16c6-42f7-af1b-529fad431051.h5ad
Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease	b46237d1-19c6-4af2-9335-9854634bad16	41257	9	20	10x 3' v2	colon, ileum	normal	unknown	prenatal-prenatal, Carnegie stage 17 (5512), Carnegie stage 18 (4538), Carnegie stage 19 (2857), Carnegie stage 22 (2933), Carnegie stage 23 (22612), 10th week post-fertilization stage (2805)	cell	17481d16-ee44-49e5-bcf0-28c0780d8c4a	62849	b46237d1-19c6-4af2-9335-9854634bad16.h5ad
Human Brain Cell Atlas v1.0	a19b218b-1c0a-4618-b41f-7c216c623ec6	40677	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (12092), 42-year-old stage (13583), 50-year-old stage (15002)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	40677	a19b218b-1c0a-4618-b41f-7c216c623ec6.h5ad
Human Brain Cell Atlas v1.0	88a01d4a-5197-45be-b5ae-e019aef43376	40565	3	11	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (9398), 42-year-old stage (9316), 50-year-old stage (21851)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	40565	88a01d4a-5197-45be-b5ae-e019aef43376.h5ad
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells	2f132ec9-24b5-422f-9be0-ccef03b4fe28	39778	12	9	10x 3' v2	lung	normal	male & female	44yo-79yo, 44-year-old stage (4395), 45-year-old stage (10939), 46-year-old stage (3627), 47-year-old stage (3004), 49-year-old stage (4138), 50-year-old stage (3606), 56-year-old stage (2440), 75-year-old stage (3417), 76-year-old stage (1662), 79-year-old stage (2550)	cell	6ff3401b-d72c-4940-a00c-3f0792397082	39778	2f132ec9-24b5-422f-9be0-ccef03b4fe28.h5ad
Human Brain Cell Atlas v1.0	27d91086-cfe3-4e33-9282-bd1246e5ce8e	39696	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (11558), 42-year-old stage (9949), 50-year-old stage (18189)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	39696	27d91086-cfe3-4e33-9282-bd1246e5ce8e.h5ad
Spatiotemporal immune zonation of the human kidney	9ea768a2-87ab-46b6-a73d-c4e915f25af3	39681	13	29	10x 3' v2	cortex of kidney, kidney, kidney blood vessel, renal medulla	normal	male & female	1yo-72yo, 19-month-old stage (542), 2-year-old stage (2283), 4-year-old stage (1948), 12-year-old stage (15065), 44-year-old stage (164), 49-year-old stage (3231), 53-year-old stage (1177), 63-year-old stage (3269), 64-year-old stage (324), 67-year-old stage (3546), 70-year-old stage (62), 72-year-old stage (8070)	cell	120e86b4-1195-48c5-845b-b98054105eec	40268	9ea768a2-87ab-46b6-a73d-c4e915f25af3.h5ad
Human Brain Cell Atlas v1.0	d288b10a-643e-44bd-b451-96e9588b2ee5	39053	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (11640), 42-year-old stage (11784), 50-year-old stage (15629)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	39053	d288b10a-643e-44bd-b451-96e9588b2ee5.h5ad
Human Brain Cell Atlas v1.0	949ec7fc-ac54-47c9-bb6f-ee9e67688cce	38937	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (11403), 42-year-old stage (12496), 50-year-old stage (15038)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	38937	949ec7fc-ac54-47c9-bb6f-ee9e67688cce.h5ad
Human Brain Cell Atlas v1.0	6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0	38259	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (13129), 42-year-old stage (10492), 50-year-old stage (14638)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	38259	6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0.h5ad
Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns	821a8e3e-87ec-41ee-bd69-cd4377057d38	37879	5	10	10x 3' v3	subcutaneous adipose tissue	normal	male & female	24yo-41yo, 24-year-old stage (8077), 33-year-old stage (12293), 34-year-old stage (9173), 41-year-old stage (8336)	nucleus	ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b	37879	821a8e3e-87ec-41ee-bd69-cd4377057d38.h5ad
Human Brain Cell Atlas v1.0	77c1c785-809f-4065-8c54-6a0170783256	37767	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (12624), 42-year-old stage (13354), 50-year-old stage (11789)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	37767	77c1c785-809f-4065-8c54-6a0170783256.h5ad
Multimodal benchmarking dataset for renal cortex characterization (mBDRC)	09b518f9-da64-44cc-aec8-70a89d55611f	37717	10	33	10x multiome	cortex of kidney	normal	male & female	50yo-74yo, 50-year-old stage (4490), 53-year-old stage (5810), 57-year-old stage (7002), 59-year-old stage (104), 67-year-old stage (4825), 68-year-old stage (6600), 69-year-old stage (1939), 72-year-old stage (2789), 74-year-old stage (4158)	nucleus	4cbb929b-b03b-4aa8-a943-00f61dc22641	37717	09b518f9-da64-44cc-aec8-70a89d55611f.h5ad
Human Brain Cell Atlas v1.0	c2aad8fc-b63b-4f9b-9cfd-baf7bc9c1771	37642	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (13377), 42-year-old stage (11273), 50-year-old stage (12992)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	37642	c2aad8fc-b63b-4f9b-9cfd-baf7bc9c1771.h5ad
Brain vascular single-cell multi-omics elucidates disease risk associations	203025fe-fa99-4d57-81da-458ed8f0c334	37007	20	14	10x multiome	dorsolateral prefrontal cortex	Alzheimer disease, normal	male & female	78yo-90yo+, 78-year-old stage (3691), 79-year-old stage (3584), 81-year-old stage (2027), 83-year-old stage (1108), 84-year-old stage (814), 87-year-old stage (1152), 88-year-old stage (2984), 90 year-old and over stage (21647)	nucleus	433700dc-e8a5-48b0-b5cd-beb22f3f88fe	65479	203025fe-fa99-4d57-81da-458ed8f0c334.h5ad
Human Brain Cell Atlas v1.0	d02287f3-408b-438d-9131-999e460cbd0e	36941	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (11781), 42-year-old stage (12453), 50-year-old stage (12707)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	36941	d02287f3-408b-438d-9131-999e460cbd0e.h5ad
A molecular single-cell lung atlas of lethal COVID-19	d8da613f-e681-4c69-b463-e94f5e66847f	36677	7	30	10x 3' v3	lung	normal	male & female	68yo-79yo, 68-year-old stage (4789), 69-year-old stage (10198), 70-year-old stage (6098), 72-year-old stage (4382), 75-year-old stage (4090), 79-year-old stage (7120)	nucleus	e4c9ed14-e560-4900-a3bf-b0f8d2ce6a10	116313	d8da613f-e681-4c69-b463-e94f5e66847f.h5ad
Insulin is expressed by enteroendocrine cells during human fetal development	3f32121d-126b-4e8d-9f69-d86502d2a1b1	36359	6	10	10x 3' v2, 10x 3' v3	small intestine	normal	female, unknown	prenatal-neonatal, 20th week post-fertilization stage (18151), 22nd week post-fertilization stage (12224), newborn stage (0-28 days) (5984)	cell	7651ac1a-f947-463a-9223-a9e408a41989	36359	3f32121d-126b-4e8d-9f69-d86502d2a1b1.h5ad
Emphysema Cell Atlas	1e5bd3b8-6a0e-4959-8d69-cafed30fe814	35699	6	9	10x 3' v3	alveolus of lung	normal, pulmonary emphysema	male & female	60yo-73yo, 60-year-old stage (2924), 61-year-old stage (5817), 63-year-old stage (11720), 65-year-old stage (7646), 73-year-old stage (7592)	cell	03cdc7f4-bd08-49d0-a395-4487c0e5a168	35699	1e5bd3b8-6a0e-4959-8d69-cafed30fe814.h5ad
Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation	2e9d2f32-4cfb-49b5-b990-cbf4c241214e	35650	3	8	10x 3' v3	apex of heart, heart left ventricle, heart right ventricle	normal	male	47yo-55yo, 47-year-old stage (19047), 54-year-old stage (7067), 55-year-old stage (9536)	nucleus	20eea6c8-9d64-42c9-9b6f-c11b5249e0e9	49359	2e9d2f32-4cfb-49b5-b990-cbf4c241214e.h5ad
Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	c05e6940-729c-47bd-a2a6-6ce3730c4919	35613	19	15	10x 3' v3	cervical spinal cord white matter, white matter of cerebellum	normal	male & female	34yo-74yo, 34-year-old stage (1932), 37-year-old stage (3213), 39-year-old stage (2877), 40-year-old stage (2835), 42-year-old stage (2498), 44-year-old stage (1322), 45-year-old stage (350), 63-year-old stage (4314), 71-year-old stage (6777), 72-year-old stage (2424), 73-year-old stage (4628), 74-year-old stage (2443)	nucleus	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	45528	c05e6940-729c-47bd-a2a6-6ce3730c4919.h5ad
Human Brain Cell Atlas v1.0	e5b1115b-a486-49bb-bda3-8261822836e0	35359	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (9529), 42-year-old stage (11338), 50-year-old stage (14492)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	35359	e5b1115b-a486-49bb-bda3-8261822836e0.h5ad
Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception	58f43044-cd3c-42b8-bc0b-3498eb236359	35317	1	51	10x 3' v3	brain meninx, forebrain meninges	normal	female	prenatal-prenatal, 10th week post-fertilization stage (35317)	cell	7d66d871-091f-4602-9f42-85f86d2853e0	156726	58f43044-cd3c-42b8-bc0b-3498eb236359.h5ad
Human Brain Cell Atlas v1.0	639ffc23-14db-4060-9027-3c90314200f8	35290	3	11	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (11484), 42-year-old stage (11739), 50-year-old stage (12067)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	35290	639ffc23-14db-4060-9027-3c90314200f8.h5ad
HVS: Human variation study	9ea52f85-a35e-4b5b-9207-e2f1de7dbbcd	35171	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (35171)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	35171	9ea52f85-a35e-4b5b-9207-e2f1de7dbbcd.h5ad
